CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Municipality,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
France,2019,2020-11-21T23:14:17.13Z,STA-FR04055,SPO-FR04055_5,48.862120000000004,2.3446159999999998,Paris,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,18.85844749,100,18.85844749,18.918341
France,2019,2020-11-21T23:14:17.13Z,STA-FR41022,SPO-FR41022_5,41.918297000000003,8.7367699999999999,Ajaccio,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,0.37671233,100,0.37671233,15.327272
France,2019,2020-11-21T23:14:17.13Z,STA-FR09404,SPO-FR09404_5,46.583889999999997,0.34555599999999997,Poitiers,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.80365297,100,96.80365297,15.467051
France,2019,2020-11-21T23:14:17.13Z,STA-FR12039,SPO-FR12039_5,43.561579999999992,1.3932599999999999,Toulouse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.74429224,100,98.74429224,16.584346
France,2019,2020-11-21T23:14:17.13Z,STA-FR15018,SPO-FR15018_5,45.360175999999996,5.5894190000000004,Grenoble,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.90410959,100,98.90410959,14.982502
France,2019,2020-11-21T23:14:17.13Z,STA-FR18043,SPO-FR18043_5,49.259551999999999,2.4743970000000002,Senlis,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,91.56392694,100,91.56392694,17.650754
France,2019,2020-11-21T23:14:17.13Z,STA-FR20047,SPO-FR20047_5,45.823222999999992,4.953958000000001,Bourg-en-Bresse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.28310502,100,97.28310502,13.398298
France,2019,2020-11-21T23:14:17.13Z,STA-FR23239,SPO-FR23239_5,47.185919999999996,-1.5914972000000001,Nantes,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,94.18949772,100,94.18949772,17.955835
France,2019,2020-11-21T23:14:17.13Z,STA-FR31013,SPO-FR31013_5,43.310832999999995,-0.39111099999999999,Pau,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.23059361,100,98.23059361,13.151946
France,2019,2020-11-21T23:14:17.13Z,STA-FR32005,SPO-FR32005_5,46.678783000000003,4.3668930000000001,Autun,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.82648402,100,96.82648402,15.253902
France,2019,2020-11-21T23:14:17.13Z,STA-FR33201,SPO-FR33201_5,45.895279999999993,6.1183329999999989,Annecy,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.88127854,100,98.88127854,17.351708
France,2019,2020-11-21T23:14:17.13Z,STA-FR36019,SPO-FR36019_5,45.04249999999999,5.0443000000000007,Valence,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,88.61872146,100,88.61872146,16.596637
France,2019,2020-11-21T23:14:17.13Z,STA-FR39008,SPO-FR39008_5,14.616389000000003,-61.1008,Fort-de-France,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,85.2739726,100,85.2739726,23.148527
France,2019,2020-11-21T23:14:17.13Z,STA-FR09016,SPO-FR09016_5,45.608820000000001,0.099722000000000005,AngoulÃªme,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.55251142,100,96.55251142,14.585504
France,2019,2020-11-21T23:14:17.13Z,STA-FR23068,SPO-FR23068_5,47.24747,-1.9366189999999999,Saint-Nazaire,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.23744292,100,97.23744292,13.389962
France,2019,2020-11-21T23:14:17.13Z,STA-FR33122,SPO-FR33122_5,45.53582999999999,6.4711110000000005,Notre-Dame-de-BrianÃ§on,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,94.26940639,100,94.26940639,19.352433
France,2019,2020-11-21T23:14:17.13Z,STA-FR33212,SPO-FR33212_5,46.193689999999989,6.2148580000000004,Saint-Julien-en-Genevois,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.56164384,100,98.56164384,15.31472
France,2019,2020-11-21T23:14:17.13Z,STA-FR35027,SPO-FR35027_5,45.84221999999999,1.2596700000000001,Limoges,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,86.46118721,100,86.46118721,13.209176
France,2019,2020-11-21T23:14:17.13Z,STA-FR02026,SPO-FR02026_5,43.584693999999999,5.0064520000000003,Istres,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,93.85844749,100,93.85844749,14.801909
France,2019,2020-11-21T23:14:17.13Z,STA-FR11025,SPO-FR11025_5,50.628050000000002,3.0903100000000001,Lille,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.40410959,100,96.40410959,19.967898
France,2019,2020-11-21T23:14:17.13Z,STA-FR16029,SPO-FR16029_5,48.610363,7.781631,Strasbourg,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.21004566,100,96.21004566,19.166445
France,2019,2020-11-21T23:14:17.13Z,STA-FR16040,SPO-FR16040_5,48.575985000000003,7.7274780000000005,Strasbourg,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,88.28767123,100,88.28767123,23.865541
France,2019,2020-11-21T23:14:17.13Z,STA-FR28033,SPO-FR28033_5,50.489719999999998,2.66642,BÃ©thune,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,93.52739726,100,93.52739726,18.266593
France,2019,2020-11-21T23:14:17.13Z,STA-FR38021,SPO-FR38021_5,-21.032139000000001,55.232562999999999,Saint-Paul,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,94.29223744,100,94.29223744,15.616065
France,2019,2020-11-21T23:14:17.13Z,STA-FR08714,SPO-FR08714_5,42.695799999999998,2.8997000000000002,Perpignan,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,89.88584475,100,89.88584475,13.212179
France,2019,2020-11-21T23:14:17.13Z,STA-FR10032,SPO-FR10032_5,50.694349999999993,1.5765700000000002,Boulogne-sur-Mer,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,81.02739726,100,81.02739726,17.521921
France,2019,2020-11-21T23:14:17.13Z,STA-FR14012,SPO-FR14012_5,49.224167000000008,4.020556,Reims,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.74200913,100,95.74200913,17.320603
France,2019,2020-11-21T23:14:17.13Z,STA-FR02041,SPO-FR02041_5,43.639004,5.1010970000000002,Aix-en-Provence,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.73744292,100,99.73744292,19.93983
France,2019,2020-11-21T23:14:17.13Z,STA-FR03021,SPO-FR03021_5,43.524074999999996,5.4481640000000002,Aix-en-Provence,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.7283105,100,97.7283105,24.780212
France,2019,2020-11-21T23:14:17.13Z,STA-FR04023,SPO-FR04023_5,49.046390000000002,2.043056,Pontoise,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.75570776,100,98.75570776,15.92721
France,2019,2020-11-21T23:14:17.13Z,STA-FR09302,SPO-FR09302_5,46.143172999999997,-0.39604200000000001,Niort,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.59360731,100,95.59360731,11.673477
France,2019,2020-11-21T23:14:17.13Z,STA-FR11016,SPO-FR11016_5,50.670029999999997,3.0765600000000002,Lille,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,81.15296804,100,81.15296804,21.05192
France,2019,2020-11-21T23:14:17.13Z,STA-FR20019,SPO-FR20019_5,45.75836000000001,4.8862139999999989,Lyon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,91.54109589,100,91.54109589,20.789724
France,2019,2020-11-21T23:14:17.13Z,STA-FR30033,SPO-FR30033_5,49.065829999999991,5.7855559999999997,Commercy,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,89.543379,100,89.543379,17.596519
France,2019,2020-11-21T23:14:17.13Z,STA-FR31040,SPO-FR31040_5,44.508655999999995,0.14250299999999999,Marmande,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.6347032,100,99.6347032,17.086606
France,2019,2020-11-21T23:14:17.13Z,STA-FR34047,SPO-FR34047_5,48.760890000000003,1.2336499999999999,Dreux,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.58447489,100,98.58447489,17.967091
France,2019,2020-11-21T23:14:17.13Z,STA-FR07034,SPO-FR07034_5,45.775696000000003,3.0962500000000004,Clermont-Ferrand,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.92237443,100,97.92237443,16.811669
France,2019,2020-11-21T23:14:17.13Z,STA-FR16017,SPO-FR16017_5,48.919356999999998,8.1584579999999995,Haguenau-Wissembourg,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.09817352,100,99.09817352,14.473885
France,2019,2020-11-21T23:14:17.13Z,STA-FR21060,SPO-FR21060_5,49.117194999999995,-0.16966600000000001,Caen,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.51141553,100,97.51141553,13.832545
France,2019,2020-11-21T23:14:17.13Z,STA-FR03043,SPO-FR03043_5,43.305285999999995,5.3947159999999998,Marseille,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.35159817,100,97.35159817,17.887546
France,2019,2020-11-21T23:14:17.13Z,STA-FR07004,SPO-FR07004_5,45.797280000000001,3.1138330000000001,Clermont-Ferrand,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.53196347,100,99.53196347,13.101582
France,2019,2020-11-21T23:14:17.13Z,STA-FR09203,SPO-FR09203_5,46.161610000000003,-1.211203,La Rochelle,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.23059361,100,98.23059361,20.756571
France,2019,2020-11-21T23:14:17.13Z,STA-FR24039,SPO-FR24039_5,43.933475000000001,5.7118089999999988,Forcalquier,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.55251142,100,96.55251142,10.244561
France,2019,2020-11-21T23:14:17.13Z,STA-FR31043,SPO-FR31043_5,43.47023999999999,-1.5538430000000001,Bayonne,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.1369863,100,95.1369863,20.81795
France,2019,2020-11-21T23:14:17.13Z,STA-FR34051,SPO-FR34051_5,46.798266999999996,1.69313,ChÃ¢teauroux,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.84246575,100,97.84246575,14.977983
France,2019,2020-11-21T23:14:17.13Z,STA-FR12047,SPO-FR12047_5,43.803889999999996,1.5958330000000001,Toulouse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.64840183,100,97.64840183,14.685772
France,2019,2020-11-21T23:14:17.13Z,STA-FR15038,SPO-FR15038_5,45.1828,5.7530999999999999,Grenoble,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.02054795,100,97.02054795,18.11779
France,2019,2020-11-21T23:14:17.13Z,STA-FR20013,SPO-FR20013_5,45.720024000000002,4.8181560000000001,Lyon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.35616438,100,98.35616438,27.185875
France,2019,2020-11-21T23:14:17.13Z,STA-FR23070,SPO-FR23070_5,47.283180000000002,-1.7831640000000002,Nantes,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.49543379,100,96.49543379,12.75553
